total_return,sharpe_ratio,final_value,symbol,strategy
0.5945358196397483,0.3502736478680449,159453.58196397484,sz.002190,RSI策略
-0.021533479539606198,-0.18980923094903493,97846.65204603938,sh.688130,RSI策略
0.4135754731736769,0.29642623921808825,141357.5473173677,sh.603197,RSI策略
-0.5204173077905458,-1.166871384500223,47958.26922094542,sz.300463,RSI策略
0.08466995927159994,0.09590177457936001,108466.99592716,sz.300318,RSI策略
-0.005746456060485507,-0.1518583549099236,99425.35439395145,sh.600997,RSI策略
-0.18610039805275913,-0.4987074995459984,81389.96019472409,sh.600529,RSI策略
0.3121447116568629,0.30091175011915455,131214.4711656863,sh.601700,RSI策略
0.20473749746159986,0.30479663115087874,120473.74974615999,sh.603356,RSI策略
-0.5316760581767451,-0.338347895173154,46832.394182325486,sh.603517,RSI策略
0.06539077564338455,0.12651304224907123,106539.07756433845,sz.002723,RSI策略
2.562848295751505,0.6340256356532209,356284.8295751505,sz.301225,RSI策略
0.655937463652775,0.362644193922138,165593.7463652775,sh.600699,RSI策略
0.12333909188293066,0.1777590240737512,112333.90918829307,sz.002388,RSI策略
0.4046673183774002,0.2956746932265649,140466.73183774002,sz.002362,RSI策略
0.2345149830027917,0.3259566639927397,123451.49830027917,sz.301220,RSI策略
0.47130157632383457,0.4839960901025934,147130.15763238346,sz.300092,RSI策略
-0.08772856199107264,-0.10180630382998648,91227.14380089274,sz.300628,RSI策略
0.04303878199788072,0.11083798345614845,104303.87819978807,sh.688478,RSI策略
-0.1184578520618855,-0.24289939837038502,88154.21479381145,sz.300838,RSI策略
0.7479436924838013,0.6398978045995541,174794.36924838013,sh.600128,RSI策略
8.752233389155696,0.9243115983974054,975223.3389155696,sh.601899,RSI策略
0.23762606492785154,0.2323792487869488,123762.60649278515,sz.300694,RSI策略
0.13527991215542481,0.35547327643009724,113527.99121554248,sh.688651,RSI策略
-0.3220904654365152,-0.6338356430668863,67790.95345634848,sz.001979,RSI策略
0.22265393084555313,0.3098955343364371,122265.39308455531,sh.601808,RSI策略
3.0077201586488336,0.5716595927436581,400772.0158648834,sz.000559,RSI策略
-0.37277433690919964,-0.807877691005696,62722.56630908004,sz.002840,RSI策略
0.5510654335651544,0.3751443462588026,155106.54335651544,sh.603477,RSI策略
0.11883578662722372,0.1335940324454802,111883.57866272237,sz.003008,RSI策略
0.9218972149643075,1.2199397159541636,192189.72149643075,sh.600033,RSI策略
0.05451358119820274,0.09900876952912702,105451.35811982027,sh.688608,RSI策略
0.1118926057958242,0.17833486183586408,111189.26057958242,sz.300386,RSI策略
-0.4768424303300656,-0.498999901201914,52315.75696699344,sh.603815,RSI策略
0.22220247233628646,0.29063703000902874,122220.24723362864,sz.300447,RSI策略
2.8532022462219513,0.9317312906695682,385320.2246221951,sh.601600,RSI策略
-0.1878196296260225,-7.104620137036782,81218.03703739775,sz.301633,RSI策略
0.3526593456824322,0.5631955789363742,135265.93456824322,sz.000623,RSI策略
0.28525091616482956,0.45242368836370467,128525.09161648295,sz.301358,RSI策略
0.56275303067217,0.39653252814657425,156275.303067217,sh.605208,RSI策略
0.7978314084275966,0.5449300150773877,179783.14084275966,sz.002294,RSI策略
2.2542010423776553,0.8886351778840467,325420.10423776554,sh.603556,RSI策略
0.3015967288007395,0.2678827646219719,130159.67288007395,sz.300716,RSI策略
